"","KitID","SampleID","Date","Barcodes","SampleType"
"2011","UBMkid821105005","69-063-1014","9/29/14","NA0008331879","Mouth"
"2012","UBMkid821105733","69-021-04","6/6/14","NA0008362546","Mouth"
"2013","UBMkid821128611","69-001-7050","3/3/17","NA0008898432","Skin"
"2014","UBMkid821128644","70-1008-6011","1/17/17","NA0008898607","Skin"
"2015","UBMkid822105064","70-1010-07","2/18/15","NA0008333208","Mouth"
"2016","UBMkid822105620","69-041-02","6/11/14","NA0008332861","Mouth"
"2017","UBMkid822128029","69-001-7045","12/5/16","NA0008948192","Skin"
"2018","UBMkid822129702","69-043-11","8/31/16","NA0008949692","Skin"
"2019","UBMkid823104887","69-114-6023","3/28/16","NA0008362382","Mouth"
"2020","UBMkid823105785","69-001-6041","10/13/15","NA0008332880","Mouth"
"2021","UBMkid823128850","69-074-06","2/17/16","NA0008949684","Skin"
"2022","UBMkid824127901","70-1008-04","10/9/13","NA0008948232","Skin"
"2023","UBMkid824128135","69-001-7011","12/15/15","NA0008942147","Skin"
"2024","UBMkid824128183","69-104-6013","8/26/15","NA0011524465","Skin"
"2025","UBMkid825129646","69-001-7038","6/20/16","NA0011470346","Skin"
"2026","UBMkid825819378","69-068-11","12/12/17","NA0014723377","Skin"
"2027","UBMkid826105631","69-032-04","6/18/14","NA0008332863","Mouth"
"2028","UBMkid827105348","69-058-09","7/6/16","NA0011531072","Mouth"
"2029","UBMkid827105384","70-1014-11","6/22/16","NA0011531077","Mouth"
"2030","UBMkid827127633","69-090-1025","9/28/16","NA0008933557","Mouth"
"2031","UBMkid827129078","69-122-01","1/28/16","NA0008898246","Skin"
"2032","UBMkid827819738","70-1015-11","12/18/17","NA0014723348","Skin"
"2033","UBMkid827819831","69-001-7070","1/23/18","NA0014723382","Skin"
"2034","UBMkid828104842","69-069-6011","7/27/15","NA0008362379","Mouth"
"2035","UBMkid829105045","69-016-1015","7/14/14","NA0008333206","Mouth"
"2036","UBMkid829129106","69-068-07","4/27/16","NA0011470394","Skin"
"2037","UBMkid829129705","70-1010-6021","10/3/16","NA0008949711","Skin"
"2038","UBMkid830128787","69-078-3021","1/25/17","NA0008898589","Skin"
"2039","UBMkid830819876","69-053-08","4/18/18","NA0014723388","Skin"
"2040","UBMkid831105122","70-1010-11","2/17/16","NA0008363575","Mouth"
"2041","UBMkid831105391","70-1002-15","10/10/16","NA0010622568","Mouth"
"2042","UBMkid832105385","69-032-1032","4/19/16","NA0011531058","Mouth"
"2043","UBMkid832127973","69-129-02","8/11/17","NA0008898573","Skin"
"2044","UBMkid832128591","70-1014-1031","4/19/17","NA0008941886","Skin"
"2045","UBMkid832129336","69-079-06","8/24/16","NA0008948915","Skin"
"2046","UBMkid833105531","69-026-07","4/28/15","NA0008362553","Mouth"
"2047","UBMkid833129294","69-123-6031","8/26/16","NA0008948943","Skin"
"2048","UBMkid834105298","70-1010-6026","11/3/16","NA0010622532","Mouth"
"2049","UBMkid834127591","69-123-6037","9/19/16","NA0008933564","Mouth"
"2050","UBMkid834128102","69-111-6011","9/21/15","NA0011524497","Skin"
"2051","UBMkid834128146","69-048-08","11/25/15","NA0008899161","Skin"
"2052","UBMkid834128671","69-123-6044","1/30/17","NA0008941860","Skin"
"2053","UBMkid834129301","69-001-7037","6/14/16","NA0011470342","Skin"
"2054","UBMkid835127782","69-123-6056","6/30/17","NA0008948188","Skin"
"2055","UBMkid835128573","70-1010-6034","2/10/17","NA0008898402","Skin"
"2056","UBMkid835129008","69-043-8013","3/4/16","NA0008898275","Skin"
"2057","UBMkid836127914","70-1011-04","12/16/13","NA0008948535","Skin"
"2058","UBMkid836128069","69-107-6013","10/19/15","NA0011524489","Skin"
"2059","UBMkid836128836","69-095-7","4/6/17","NA0008898401","Skin"
"2060","UBMkid836129207","69-069-07","11/3/16","NA0008948927","Skin"
"2061","UBMkid837127534","69-097-04","5/6/16","NA0008933414","Mouth"
"2062","UBMkid837819417","69-026-2065","11/7/17","NA0014723366","Skin"
"2063","UBMkid838127863","69-016-1012","6/20/14","NA0010630106","Skin"
"2064","UBMkid838128242","69-109-1011","8/24/15","NA0008942152","Skin"
"2065","UBMkid838128648","70-1008-6021","3/24/17","NA0008898413","Skin"
"2066","UBMkid838128822","69-073-11","5/16/17","NA0008941858","Skin"
"2067","UBMkid838819189","69-090-08","1/23/18","NA0014723386","Skin"
"2068","UBMkid838819810","69-074-10","12/8/17","NA0014723384","Skin"
"2069","UBMkid839105361","69-078-07","11/30/16","NA0010622542","Mouth"
"2070","UBMkid839127780","69-085-07","12/14/16","NA0008898568","Skin"
"2071","UBMkid840128156","69-052-06","9/22/15","NA0008942141","Skin"
"2072","UBMkid841105105","69-053-6031","1/19/16","NA0008352983","Mouth"
"2073","UBMkid841105358","69-122-02","7/18/16","NA0010622545","Mouth"
"2074","UBMkid841127921","69-090-07","7/12/17","NA0008948352","Skin"
"2075","UBMkid841128206","69-114-6011","10/19/15","NA0008942163","Skin"
"2076","UBMkid841128638","69-078-3022","1/27/17","NA0008898603","Skin"
"2077","UBMkid841129077","70-1005-6011","4/19/16","NA0008898270","Skin"
"2078","UBMkid842128101","69-043-2023","10/2/15","NA0011524476","Skin"
"2079","UBMkid842128580","70-1005-15","3/6/17","NA0008898398","Skin"
"2080","UBMkid842128857","69-104-6025","2/26/16","NA0011470401","Skin"
